Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2,class,Outlier
AAT_ECOLI,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp,no
ACEA_ECOLI,0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp,no
ACEK_ECOLI,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp,no
ACKA_ECOLI,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp,no
ADI_ECOLI,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp,no
ALKH_ECOLI,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp,no
AMPD_ECOLI,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp,no
AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp,no
APT_ECOLI,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp,no
ARAC_ECOLI,0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp,no
ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp,no
BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp,no
CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp,no
CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp,no
CFA_ECOLI,0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp,no
CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp,no
CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp,no
CHEW_ECOLI,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp,no
CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp,no
CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp,no
CRL_ECOLI,0.4,0.45,0.48,0.5,0.38,0.22,0,cp,no
CSPA_ECOLI,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp,no
CYNR_ECOLI,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp,no
CYPB_ECOLI,0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp,no
CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp,no
CYSB_ECOLI,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp,no
CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp,no
DAPD_ECOLI,0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp,no
